uS2 1129610at2759
uS3 1135751at2759
uS4 1310788at2759
uS5 1197354at2759
uS7 1532160at2759
uS8 1417658at2759
uS9 1347615at2759
uS10    1454256at2759
uS11    1408000at2759
uS12    1402984at2759
uS13    1343043at2759
uS14    1635465at2759
uS15    1387147at2759
uS17    1325168at2759
uS19    1390881at2759
eS1 1207239at2759
eS4 1065966at2759
eS6 1326714at2759
eS7 1289550at2759
eS8 1278610at2759
eS10    1588066at2759
eS12    1474866at2759
eS17    1459807at2759
eS19    1434984at2759
eS21    1571849at2759
eS24    1465790at2759
eS25    1552294at2759
eS26    1591366at2759
eS27    1537724at2759
eS28    1578965at2759
eS30    1642945at2759
uL1 1172076at2759
uL2 1156335at2759
uL3 793191at2759
uL4 878848at2759
uL5 1340833at2759
uL6 1408258at2759
uL10    1102823at2759
uL11    1279477at2759
uL13    1312756at2759 
uL14    1374830at2759
uL15    1445443at2759
uL16    1215841at2759
uL18    999609at2759
uL22    1362349at2759
uL23    1436090at2759
uL24    1488916at2759
uL29    1468839at2759
uL30    1544778at2759
eL6 1227453at2759
eL8 1200503at2759
eL13    1239434at2759
eL14    1433759at2759
eL15    1181691at2759
eL18    1303996at2759
eL19    1437042at2759
eL20    1265349at2759
eL21    1455026at2759
eL22    1594080at2759
eL24    1502432at2759
eL27    1584965at2759
eL28    1593474at2759
eL29    1608986at2759
eL30    1503991at2759
eL31    1547011at2759
eL32    1460684at2759
eL33    1448743at2759
eL34    1517591at2759
eL36    1477459at2759
eL37    1560654at2759
eL38    1619070at2759
eL39    1618745at2759
eL42    1392093at2759
eL43    1621758at2759
P1P2    1626327at2759
